epoch,loss,weight_stage1_L1_acc,weight_stage1_L1_loss,weight_stage1_L2_acc,weight_stage1_L2_loss
0,2065.9849382872285,0.23081171894232527,841.8994296200812,0.22016259352065046,1222.2703217619412
1,1558.242586939059,0.23072319719057838,573.6984975680083,0.4205881319857931,982.7289039893782
2,1427.842759862348,0.23235998115325718,506.3280775420353,0.5091501932778174,919.6994973751008
3,1368.2087293514105,0.2317388445172044,477.25437081348514,0.5564922575448547,889.1391736498206
4,1636.7170379236884,0.17478384697700394,628.1187551526839,0.5771418426023769,1006.7830968488548
5,1616.168511331858,0.17415469575058146,618.4454700398842,0.590725779166907,995.90785639979
6,1595.463022791016,0.17533868513050316,607.8434747952012,0.6006213207001244,985.8043622796583
7,1583.928380104355,0.17622804019879246,602.3402046581438,0.6074089165626343,979.7729892915546
8,1554.6891444656912,0.17561361897809735,573.4626596179675,0.6197867032870215,979.4112981617678
9,1542.5388249919463,0.17648857968065107,567.7930947433601,0.6239838472986448,972.9305427223414
10,1539.3453199981504,0.1759818792917008,566.5211562014101,0.6273183446433035,971.0089755128079
11,1532.0929209449064,0.17724707079196725,562.2580660612421,0.6277158714421076,968.0196675481161
